"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"349","1","0","0","1","f","yes","prof","24","1","handsfree","highspeed"
"350","0","1","0","1","m","yes","nonprof","30",">6","handsfree","highspeed"
"351","0","1","0","1","m","yes","nonprof","8","2-3","handsfree","highspeed"
"352","0","1","1","0","m","yes","nonprof","24",">6","handsfree","highspeed"
"353","0","1","0","1","m","yes","nonprof","22",">6","handsfree","highspeed"
"354","0","1","0","1","f","yes","nonprof","9","1","handsfree","lowspeed"
"355","1","0","0","1","m","yes","nonprof","18","4-5","handsfree","highspeed"
"356","0","1","0","1","m","no","nonprof","44",">6","handheld","highspeed"
"357","0","1","0","1","m","yes","prof","20","2-3","handheld","highspeed"
"358","0","1","0","1","m","yes","nonprof","14","1","handsfree","highspeed"
"359","0","1","0","1","m","yes","prof","16","4-5","handsfree","highspeed"
"360","0","1","0","1","m","yes","nonprof","8","1","handsfree","highspeed"
"361","0","1","0","1","f","yes","prof","21","1","handheld","highspeed"
"362","1","0","0","1","m","yes","nonprof","40",">6","handsfree","highspeed"
"363","0","1","0","1","m","yes","nonprof","12","1","handsfree","lowspeed"
"364","0","1","0","1","m","no","prof","18","1","handsfree","highspeed"
"365","0","1","0","1","m","yes","nonprof","42",">6","handsfree","highspeed"
"366","1","0","0","1","f","yes","prof","15",">6","handsfree","lowspeed"
"367","0","1","0","1","m","yes","nonprof","37","1","handsfree","highspeed"
"368","0","1","0","1","f","yes","nonprof","11","2-3","handheld","lowspeed"
"369","1","0","0","1","f","yes","prof","11","4-5","handsfree","highspeed"
"370","0","1","0","1","m","yes","nonprof","37","2-3","handsfree","highspeed"
"371","1","0","0","1","f","yes","nonprof","28","2-3","handsfree","highspeed"
"372","0","1","0","1","m","yes","nonprof","29",">6","handsfree","lowspeed"
"373","0","1","0","1","m","yes","prof","17",">6","handsfree","highspeed"
"374","0","1","0","1","f","yes","nonprof","4","1","handsfree","highspeed"
"375","0","1","0","1","m","yes","nonprof","1",">6","handsfree","lowspeed"
"376","0","1","0","1","m","no","nonprof","41","4-5","handsfree","highspeed"
"377","0","1","0","1","m","no","nonprof","36","1","handsfree","highspeed"
"378","1","0","0","1","m","yes","nonprof","8","2-3","handsfree","highspeed"
"379","0","1","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"380","1","0","0","1","m","yes","nonprof","17","1","handsfree","lowspeed"
"381","0","1","0","1","m","no","nonprof","20","1","handsfree","highspeed"
"382","0","1","0","1","m","yes","prof","30","4-5","handsfree","lowspeed"
"383","0","1","0","1","f","yes","nonprof","6","1","handsfree","highspeed"
"384","0","1","0","1","m","yes","nonprof","31","4-5","handsfree","highspeed"
"385","1","0","0","1","m","no","nonprof","34","2-3","handsfree","highspeed"
"386","0","1","0","1","m","yes","nonprof","30","2-3","handsfree","highspeed"
"387","0","1","0","1","m","yes","nonprof","13","4-5","handsfree","highspeed"
"388","0","1","1","0","m","yes","prof","47",">6","handsfree","lowspeed"
"389","0","1","0","1","m","no","nonprof","5","1","handsfree","highspeed"
"390","0","1","0","1","f","yes","nonprof","10","2-3","handsfree","lowspeed"
"391","1","0","0","1","f","yes","nonprof","8","1","handsfree","highspeed"
"392","0","1","0","1","f","yes","nonprof","50","1","handsfree","highspeed"
"393","0","1","0","1","m","yes","nonprof","19",">6","handsfree","highspeed"
"394","0","1","0","1","f","yes","prof","29","4-5","handsfree","lowspeed"
"395","1","0","0","1","m","yes","prof","24","4-5","handsfree","highspeed"
"396","0","1","0","1","m","yes","nonprof","25","2-3","handsfree","highspeed"
"397","0","1","0","1","m","yes","nonprof","10","4-5","handsfree","lowspeed"
"398","0","1","0","1","f","yes","prof","16","2-3","handsfree","highspeed"
"399","1","0","0","1","f","yes","nonprof","10","2-3","handsfree","highspeed"
"400","1","0","0","1","f","yes","prof","6","1","handsfree","lowspeed"
"401","0","1","0","1","m","yes","prof","23","4-5","handsfree","highspeed"
"402","0","1","0","1","f","yes","prof","14","2-3","handsfree","highspeed"
"403","0","1","0","1","m","yes","nonprof","17","2-3","handsfree","highspeed"
"404","0","1","0","1","m","yes","nonprof","50","2-3","handsfree","highspeed"
"405","0","1","0","1","f","yes","nonprof","15","1","handsfree","highspeed"
"406","0","1","0","1","f","yes","nonprof","20","4-5","handsfree","highspeed"
"407","0","1","0","1","f","yes","nonprof","6","1","handsfree","highspeed"
"408","0","1","0","1","f","yes","nonprof","13","1","handsfree","lowspeed"
"409","1","0","0","1","m","yes","prof","32","4-5","handheld","highspeed"
"410","0","1","0","1","m","yes","prof","22","1","handsfree","highspeed"
"411","1","0","0","1","m","no","nonprof","23","1","handsfree","lowspeed"
"412","0","1","0","1","f","yes","nonprof","10","4-5","handheld","lowspeed"
"413","1","0","1","0","m","no","nonprof","15","4-5","handsfree","highspeed"
"414","0","1","0","1","m","yes","nonprof","24","4-5","handsfree","highspeed"
"415","0","1","0","1","m","yes","nonprof","43","2-3","handsfree","highspeed"
"416","0","1","0","1","m","yes","prof","33","4-5","handsfree","lowspeed"
"417","0","1","0","1","f","yes","nonprof","20","2-3","handsfree","highspeed"
"418","0","1","0","1","m","yes","prof","26",">6","handheld","highspeed"
"419","1","0","0","1","m","yes","nonprof","10",">6","handsfree","highspeed"
"420","0","1","0","1","f","yes","nonprof","24","1","handheld","lowspeed"
"421","1","0","0","1","m","yes","nonprof","31",">6","handheld","highspeed"
"422","0","1","0","1","m","yes","prof","30","4-5","handheld","highspeed"
"423","0","1","0","1","m","yes","prof","35",">6","handheld","highspeed"
"424","0","1","0","1","m","yes","nonprof","17",">6","handsfree","highspeed"
"425","0","1","0","1","m","yes","nonprof","10",">6","handsfree","highspeed"
"426","0","1","0","1","m","yes","nonprof","9","2-3","handsfree","highspeed"
"427","0","1","0","1","f","yes","prof","11","4-5","handheld","highspeed"
"428","0","1","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"429","0","1","0","1","m","no","nonprof","47","2-3","handsfree","lowspeed"
"430","0","1","0","1","m","yes","prof","44","4-5","handheld","lowspeed"
"431","1","0","0","1","m","yes","prof","34",">6","handsfree","highspeed"
"432","0","1","0","1","m","yes","nonprof","50","4-5","handsfree","highspeed"
"433","1","0","1","0","m","yes","nonprof","15","2-3","handsfree","highspeed"
"434","0","1","0","1","m","yes","prof","24","1","handsfree","highspeed"
"435","0","1","0","1","m","yes","nonprof","1",">6","handheld","highspeed"
"436","0","1","0","1","m","yes","nonprof","16","1","handsfree","highspeed"
"437","1","0","0","1","m","yes","nonprof","15",">6","handsfree","highspeed"
"438","0","1","0","1","f","yes","nonprof","22","4-5","handheld","lowspeed"
"439","1","0","0","1","f","yes","prof","20","1","handsfree","highspeed"
"440","0","1","0","1","m","yes","nonprof","11","1","handsfree","highspeed"
"441","0","1","0","1","f","yes","prof","10","1","handsfree","highspeed"
"442","0","1","0","1","m","yes","nonprof","8","1","handsfree","highspeed"
"443","0","1","1","0","m","yes","prof","36","4-5","handheld","highspeed"
"444","0","1","0","1","m","no","nonprof","49",">6","handsfree","highspeed"
"445","1","0","0","1","m","yes","nonprof","6","4-5","handsfree","highspeed"
"446","0","1","0","1","m","yes","nonprof","9","1","handsfree","highspeed"
"447","0","1","0","1","f","no","nonprof","1","1","handsfree","highspeed"
"448","1","0","1","0","m","yes","nonprof","12",">6","handsfree","lowspeed"
"449","0","1","0","1","m","yes","prof","15",">6","handsfree","highspeed"
"450","0","1","0","1","f","yes","nonprof","16","1","handsfree","highspeed"
"451","1","0","0","1","m","yes","nonprof","10","1","handsfree","lowspeed"
"452","0","1","0","1","f","yes","nonprof","13","1","handsfree","highspeed"
"453","0","1","0","1","m","yes","prof","14","4-5","handsfree","lowspeed"
"454","1","0","0","1","m","yes","nonprof","16",">6","handsfree","highspeed"
"455","0","1","0","1","f","yes","nonprof","12","1","handsfree","highspeed"
"456","0","1","0","1","f","yes","prof","12","1","handsfree","highspeed"
"457","1","0","0","1","m","yes","nonprof","4","1","handsfree","lowspeed"
"458","0","1","1","0","f","yes","nonprof","16","1","handsfree","lowspeed"
"459","1","0","0","1","f","yes","nonprof","13","1","handheld","highspeed"
"460","0","1","0","1","m","no","nonprof","40","1","handsfree","highspeed"
"461","1","0","0","1","f","yes","nonprof","20","4-5","handheld","highspeed"
"462","0","1","1","0","m","no","nonprof","50","4-5","handsfree","highspeed"
"463","0","1","0","1","m","no","nonprof","6","2-3","handsfree","highspeed"
"464","0","1","0","1","m","yes","nonprof","32","2-3","handsfree","highspeed"
"465","0","1","0","1","m","yes","prof","40","4-5","handsfree","highspeed"
"466","0","1","0","1","m","yes","nonprof","23","2-3","handsfree","highspeed"
"467","0","1","1","0","m","yes","nonprof","5","2-3","handsfree","highspeed"
"468","0","1","1","0","m","yes","nonprof","4","1","handsfree","lowspeed"
"469","0","1","0","1","m","yes","nonprof","6","2-3","handsfree","highspeed"
"470","1","0","0","1","m","yes","nonprof","10","4-5","handsfree","highspeed"
"471","0","1","0","1","m","yes","nonprof","26","4-5","handheld","highspeed"
"472","1","0","0","1","m","yes","nonprof","45",">6","handheld","highspeed"
"473","0","1","0","1","m","yes","prof","35","2-3","handsfree","lowspeed"
"474","0","1","0","1","m","yes","prof","34","4-5","handheld","highspeed"
"475","0","1","0","1","m","yes","prof","30","4-5","handsfree","highspeed"
"476","1","0","0","1","m","yes","nonprof","20",">6","handsfree","highspeed"
"477","0","1","1","0","m","yes","nonprof","29","1","handsfree","highspeed"
"478","0","1","0","1","f","yes","nonprof","23","1","handsfree","highspeed"
"479","0","1","0","1","m","yes","nonprof","1","1","handsfree","lowspeed"
"480","0","1","0","1","m","yes","nonprof","45",">6","handheld","highspeed"
"481","0","1","0","1","m","yes","nonprof","25","1","handsfree","highspeed"
"482","0","1","1","0","m","yes","nonprof","12","4-5","handsfree","lowspeed"
"483","0","1","0","1","m","yes","nonprof","29",">6","handheld","highspeed"
"484","1","0","0","1","f","no","nonprof","20","2-3","handsfree","highspeed"
"485","1","0","0","1","m","yes","nonprof","14","4-5","handsfree","highspeed"
"486","1","0","0","1","m","yes","nonprof","24","1","handsfree","highspeed"
"487","0","1","0","1","f","yes","nonprof","10","1","handsfree","lowspeed"
"488","0","1","0","1","m","yes","nonprof","33",">6","handheld","highspeed"
"489","0","1","0","1","f","yes","nonprof","18","2-3","handsfree","highspeed"
"490","0","1","0","1","m","yes","nonprof","5","2-3","handsfree","highspeed"
"491","1","0","1","0","m","yes","nonprof","14",">6","handsfree","highspeed"
"492","1","0","0","1","m","yes","nonprof","30","4-5","handheld","highspeed"
"493","0","1","0","1","m","yes","nonprof","28","4-5","handsfree","highspeed"
"494","0","1","0","1","m","yes","prof","19",">6","handsfree","highspeed"
"495","1","0","0","1","m","yes","nonprof","16",">6","handheld","highspeed"
"496","0","1","0","1","m","no","nonprof","30",">6","handsfree","highspeed"
"497","0","1","0","1","m","yes","nonprof","17","1","handsfree","highspeed"
"498","0","1","0","1","m","yes","nonprof","10","4-5","handheld","highspeed"
"499","0","1","0","1","f","yes","prof","8","1","handsfree","highspeed"
"500","0","1","0","1","m","no","nonprof","21",">6","handsfree","highspeed"
"501","0","1","0","1","m","yes","nonprof","6","2-3","handheld","lowspeed"
"502","0","1","0","1","m","yes","nonprof","25","1","handsfree","highspeed"
"503","0","1","0","1","f","yes","nonprof","22","2-3","handheld","lowspeed"
"504","1","0","0","1","f","yes","nonprof","9","1","handsfree","highspeed"
"505","0","1","0","1","m","yes","prof","27","1","handsfree","highspeed"
"506","1","0","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"507","0","1","0","1","m","yes","prof","28","4-5","handheld","lowspeed"
"508","1","0","0","1","f","yes","nonprof","14",">6","handsfree","highspeed"
"509","0","1","0","1","m","yes","prof","33","2-3","handsfree","highspeed"
"510","0","1","0","1","m","yes","prof","26","1","handsfree","highspeed"
"511","0","1","0","1","f","yes","nonprof","32",">6","handheld","highspeed"
"512","0","1","0","1","m","yes","nonprof","11","4-5","handsfree","highspeed"
"513","0","1","0","1","f","yes","prof","8","2-3","handsfree","highspeed"
"514","1","0","0","1","m","yes","prof","24","2-3","handheld","highspeed"
"515","0","1","0","1","m","yes","prof","20","4-5","handsfree","lowspeed"
"516","0","1","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"517","0","1","0","1","f","yes","prof","16","1","handsfree","lowspeed"
"518","0","1","0","1","m","yes","nonprof","18","2-3","handsfree","highspeed"
"519","0","1","0","1","m","yes","nonprof","21","4-5","handsfree","lowspeed"
"520","0","1","0","1","m","yes","nonprof","20","4-5","handheld","highspeed"
"521","0","1","0","1","m","yes","nonprof","20","1","handsfree","lowspeed"
"522","0","1","0","1","m","no","nonprof","41","4-5","handsfree","highspeed"
"523","0","1","0","1","m","yes","nonprof","3","1","handsfree","highspeed"
"524","0","1","0","1","m","no","nonprof","35","2-3","handsfree","lowspeed"
"525","0","1","0","1","m","yes","nonprof","1","2-3","handheld","highspeed"
"526","0","1","0","1","m","yes","nonprof","22","2-3","handheld","lowspeed"
"527","0","1","0","1","m","yes","prof","9","1","handheld","highspeed"
"528","0","1","0","1","m","yes","prof","18","1","handsfree","highspeed"
"529","0","1","0","1","m","yes","nonprof","28","4-5","handheld","highspeed"
"530","0","1","0","1","f","yes","nonprof","23",">6","handheld","highspeed"
"531","0","1","1","0","f","yes","prof","25","2-3","handheld","highspeed"
"532","0","1","0","1","m","yes","nonprof","17","2-3","handsfree","lowspeed"
"533","1","0","0","1","m","yes","prof","10","4-5","handsfree","lowspeed"
"534","1","0","1","0","m","yes","nonprof","12",">6","handsfree","highspeed"
"535","0","1","0","1","m","yes","prof","25","2-3","handsfree","highspeed"
"536","1","0","0","1","m","yes","prof","17","4-5","handsfree","highspeed"
"537","0","1","0","1","m","no","nonprof","3","1","handsfree","highspeed"
"538","0","1","0","1","f","yes","nonprof","1","1","handsfree","highspeed"
"539","1","0","0","1","m","yes","nonprof","12","4-5","handsfree","highspeed"
"540","1","0","0","1","f","yes","nonprof","20","1","handsfree","highspeed"
"541","0","1","0","1","f","yes","nonprof","16","2-3","handsfree","highspeed"
"542","1","0","1","0","m","yes","nonprof","20",">6","handsfree","highspeed"
"543","0","1","0","1","m","yes","nonprof","34",">6","handheld","highspeed"
"544","1","0","0","1","m","yes","nonprof","40","4-5","handheld","highspeed"
"545","0","1","0","1","m","yes","nonprof","30","2-3","handsfree","highspeed"
"546","0","1","0","1","m","yes","nonprof","48",">6","handheld","highspeed"
"547","0","1","0","1","m","yes","nonprof","13","1","handsfree","highspeed"
"548","0","1","0","1","m","no","nonprof","24",">6","handheld","highspeed"
"549","0","1","0","1","m","yes","prof","25","2-3","handsfree","highspeed"
"550","1","0","0","1","m","no","nonprof","6","1","handsfree","highspeed"
"551","0","1","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"552","1","0","0","1","m","yes","nonprof","6","1","handsfree","highspeed"
"553","0","1","0","1","m","yes","prof","16",">6","handsfree","highspeed"
"554","1","0","0","1","m","yes","nonprof","12",">6","handheld","highspeed"
"555","1","0","0","1","m","yes","prof","43","2-3","handsfree","highspeed"
"556","0","1","0","1","m","yes","prof","17","4-5","handsfree","highspeed"
"557","0","1","0","1","m","yes","nonprof","25","2-3","handsfree","highspeed"
"558","1","0","0","1","m","yes","prof","15",">6","handsfree","lowspeed"
"559","0","1","0","1","m","yes","nonprof","33",">6","handsfree","highspeed"
"560","0","1","0","1","f","yes","prof","19","1","handsfree","highspeed"
"561","0","1","0","1","m","yes","nonprof","30","1","handsfree","highspeed"
"562","1","0","0","1","m","yes","prof","27","1","handsfree","highspeed"
"563","1","0","0","1","m","yes","nonprof","21","4-5","handheld","highspeed"
"564","1","0","0","1","m","yes","nonprof","17",">6","handsfree","highspeed"
"565","0","1","0","1","f","yes","nonprof","12","2-3","handsfree","highspeed"
"566","0","1","0","1","f","yes","nonprof","14","2-3","handsfree","highspeed"
"567","0","1","0","1","m","yes","nonprof","14",">6","handheld","lowspeed"
"568","0","1","0","1","f","no","prof","32","4-5","handsfree","highspeed"
"569","0","1","0","1","m","yes","prof","27","2-3","handsfree","highspeed"
"570","0","1","0","1","m","yes","prof","6","1","handsfree","highspeed"
"571","0","1","0","1","m","yes","nonprof","19","2-3","handsfree","lowspeed"
"572","0","1","0","1","m","yes","prof","25","1","handsfree","highspeed"
"573","0","1","0","1","m","yes","nonprof","9","1","handsfree","highspeed"
"574","1","0","0","1","m","yes","nonprof","6","1","handheld","lowspeed"
"575","0","1","0","1","m","yes","nonprof","19","4-5","handsfree","highspeed"
"576","0","1","0","1","m","no","nonprof","13",">6","handsfree","highspeed"
"577","1","0","0","1","m","no","nonprof","24","1","handsfree","highspeed"
"578","0","1","0","1","m","yes","prof","1","1","handsfree","highspeed"
"579","0","1","0","1","f","yes","nonprof","24","4-5","handsfree","highspeed"
"580","1","0","0","1","f","yes","nonprof","2","1","handsfree","highspeed"
"581","0","1","0","1","m","yes","nonprof","9","1","handheld","lowspeed"
"582","1","0","0","1","m","no","nonprof","3","1","handsfree","highspeed"
"583","0","1","0","1","m","yes","nonprof","14","4-5","handsfree","highspeed"
"584","1","0","0","1","f","yes","nonprof","23","2-3","handsfree","highspeed"
"585","1","0","0","1","m","yes","nonprof","18","2-3","handsfree","lowspeed"
"586","1","0","0","1","m","yes","nonprof","14","4-5","handheld","highspeed"
"587","0","1","0","1","m","yes","nonprof","20","2-3","handsfree","highspeed"
"588","0","1","0","1","m","no","nonprof","7","2-3","handsfree","highspeed"
"589","1","0","0","1","f","yes","prof","11",">6","handheld","highspeed"
"590","1","0","1","0","f","yes","nonprof","2",">6","handheld","highspeed"
"591","1","0","0","1","m","yes","nonprof","28",">6","handsfree","highspeed"
"592","0","1","0","1","m","no","nonprof","2","1","handsfree","highspeed"
"593","0","1","0","1","m","yes","nonprof","12","1","handsfree","lowspeed"
"594","0","1","0","1","m","yes","nonprof","24",">6","handsfree","highspeed"
"595","0","1","0","1","m","yes","nonprof","19","2-3","handsfree","highspeed"
"596","1","0","1","0","f","yes","nonprof","8","1","handsfree","highspeed"
"597","1","0","0","1","m","yes","prof","40",">6","handsfree","highspeed"
"598","0","1","0","1","f","yes","nonprof","27","1","handsfree","highspeed"
"599","0","1","0","1","f","yes","nonprof","16","1","handsfree","highspeed"
"600","0","1","0","1","f","yes","prof","50","2-3","handsfree","highspeed"
"601","0","1","0","1","m","yes","prof","40",">6","handsfree","highspeed"
"602","0","1","0","1","f","yes","nonprof","7","1","handsfree","highspeed"
"603","0","1","0","1","f","no","nonprof","2","1","handsfree","highspeed"
"604","0","1","0","1","m","yes","nonprof","29","4-5","handsfree","highspeed"
"605","0","1","0","1","f","yes","nonprof","17","4-5","handheld","highspeed"
"606","1","0","0","1","m","yes","nonprof","1","1","handsfree","highspeed"
"607","0","1","1","0","m","yes","nonprof","15","4-5","handsfree","highspeed"
"608","1","0","0","1","m","no","nonprof","11",">6","handsfree","highspeed"
"609","0","1","0","1","m","yes","nonprof","9","2-3","handsfree","highspeed"
"610","0","1","0","1","m","yes","nonprof","25",">6","handsfree","highspeed"
"611","0","1","0","1","m","yes","prof","22","1","handsfree","highspeed"
"612","1","0","0","1","m","yes","nonprof","6","1","handsfree","highspeed"
"613","0","1","0","1","m","yes","nonprof","12","1","handsfree","highspeed"
"614","0","1","0","1","f","yes","nonprof","19","2-3","handheld","highspeed"
"615","0","1","0","1","m","yes","nonprof","35","2-3","handsfree","highspeed"
"616","0","1","0","1","m","yes","nonprof","20",">6","handsfree","highspeed"
"617","0","1","0","1","m","no","nonprof","24",">6","handsfree","highspeed"
"618","0","1","0","1","m","yes","nonprof","5","2-3","handsfree","highspeed"
"619","0","1","0","1","m","no","prof","46","1","handsfree","highspeed"
"620","0","1","0","1","f","yes","nonprof","6","1","handsfree","highspeed"
"621","0","1","0","1","m","yes","nonprof","14",">6","handsfree","highspeed"
"622","0","1","0","1","m","yes","nonprof","31",">6","handheld","highspeed"
"623","0","1","0","1","f","yes","prof","8","1","handsfree","highspeed"
"624","0","1","0","1","m","yes","prof","12","4-5","handsfree","highspeed"
"625","0","1","0","1","m","yes","nonprof","26",">6","handsfree","highspeed"
"626","0","1","0","1","m","no","nonprof","28","4-5","handheld","highspeed"
"627","0","1","0","1","m","yes","nonprof","5","1","handsfree","lowspeed"
"628","1","0","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"629","0","1","0","1","m","yes","prof","32",">6","handheld","highspeed"
"630","0","1","0","1","m","yes","nonprof","28","4-5","handheld","highspeed"
"631","0","1","0","1","m","yes","nonprof","7","2-3","handsfree","lowspeed"
"632","1","0","0","1","m","yes","nonprof","15",">6","handsfree","highspeed"
"633","0","1","0","1","m","no","nonprof","10","4-5","handsfree","highspeed"
"634","0","1","1","0","f","yes","nonprof","18","4-5","handsfree","lowspeed"
"635","0","1","0","1","m","no","nonprof","8","2-3","handsfree","highspeed"
"636","1","0","0","1","m","yes","nonprof","6","2-3","handsfree","lowspeed"
"637","0","1","0","1","f","yes","nonprof","17","1","handsfree","highspeed"
"638","1","0","0","1","m","yes","nonprof","16","4-5","handheld","highspeed"
"639","0","1","0","1","m","yes","nonprof","30",">6","handheld","highspeed"
"640","0","1","0","1","m","yes","nonprof","36",">6","handheld","highspeed"
"641","0","1","0","1","m","yes","nonprof","16",">6","handsfree","highspeed"
"642","0","1","0","1","f","yes","nonprof","11","4-5","handsfree","highspeed"
"643","0","1","0","1","f","yes","nonprof","22","1","handheld","highspeed"
"644","0","1","0","1","m","yes","nonprof","48","4-5","handheld","highspeed"
"645","1","0","0","1","f","yes","nonprof","5","2-3","handsfree","highspeed"
"646","0","1","0","1","f","yes","nonprof","17","1","handsfree","highspeed"
"647","1","0","0","1","m","yes","prof","8","1","handsfree","highspeed"
"648","0","1","0","1","m","yes","nonprof","6",">6","handheld","highspeed"
"649","0","1","0","1","m","yes","prof","4","1","handsfree","highspeed"
"650","0","1","0","1","f","yes","nonprof","20","2-3","handsfree","highspeed"
"651","0","1","0","1","m","yes","nonprof","35","1","handsfree","highspeed"
"652","0","1","0","1","m","yes","prof","19","4-5","handsfree","lowspeed"
"653","0","1","0","1","m","yes","nonprof","49","2-3","handsfree","lowspeed"
"654","0","1","0","1","m","yes","nonprof","24","4-5","handsfree","highspeed"
"655","0","1","0","1","f","yes","prof","5","4-5","handheld","highspeed"
"656","0","1","0","1","m","yes","nonprof","14","1","handsfree","highspeed"
"657","0","1","0","1","m","yes","nonprof","55","1","handsfree","highspeed"
"658","0","1","0","1","m","yes","prof","17","2-3","handsfree","highspeed"
"659","0","1","0","1","m","yes","nonprof","21","1","handsfree","highspeed"
"660","1","0","0","1","m","no","nonprof","3","2-3","handsfree","highspeed"
"661","0","1","0","1","m","yes","prof","27","4-5","handsfree","highspeed"
"662","0","1","0","1","m","yes","nonprof","8","2-3","handsfree","lowspeed"
"663","0","1","0","1","m","yes","prof","22","4-5","handsfree","highspeed"
"664","0","1","0","1","f","yes","nonprof","28",">6","handheld","lowspeed"
"665","0","1","0","1","f","yes","nonprof","26","1","handsfree","highspeed"
"666","0","1","0","1","m","yes","nonprof","27",">6","handheld","highspeed"
"667","0","1","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"668","0","1","0","1","m","yes","prof","40","4-5","handsfree","lowspeed"
"669","0","1","0","1","m","yes","nonprof","14","2-3","handsfree","highspeed"
"670","0","1","0","1","f","yes","prof","36","2-3","handsfree","highspeed"
"671","0","1","0","1","f","yes","nonprof","13","4-5","handsfree","highspeed"
"672","0","1","0","1","f","yes","prof","26","4-5","handheld","highspeed"
"673","0","1","0","1","m","no","nonprof","6","2-3","handsfree","highspeed"
"674","0","1","0","1","m","yes","nonprof","2","1","handsfree","highspeed"
"675","0","1","0","1","m","yes","nonprof","17","4-5","handsfree","highspeed"
"676","1","0","0","1","m","yes","prof","40",">6","handsfree","highspeed"
"677","0","1","0","1","m","yes","prof","11","1","handsfree","highspeed"
"678","0","1","0","1","m","yes","prof","18","4-5","handsfree","highspeed"
"679","1","0","0","1","m","yes","nonprof","35","2-3","handsfree","highspeed"
"680","0","1","0","1","m","yes","nonprof","11","2-3","handsfree","highspeed"
"681","1","0","0","1","f","yes","nonprof","2","1","handsfree","highspeed"
"682","0","1","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"683","0","1","0","1","m","yes","nonprof","23",">6","handsfree","highspeed"
"684","1","0","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"685","0","1","0","1","f","yes","prof","10","4-5","handsfree","lowspeed"
"686","0","1","0","1","m","yes","nonprof","12","2-3","handsfree","highspeed"
"687","1","0","0","1","m","yes","nonprof","7","4-5","handsfree","highspeed"
"688","1","0","0","1","m","yes","prof","16","4-5","handsfree","highspeed"
"689","1","0","0","1","m","yes","nonprof","17","1","handsfree","lowspeed"
"690","1","0","0","1","f","no","nonprof","9","2-3","handsfree","highspeed"
"691","0","1","0","1","f","yes","nonprof","3","2-3","handsfree","highspeed"
"692","0","1","0","1","m","yes","nonprof","8",">6","handsfree","highspeed"
"693","1","0","0","1","f","no","nonprof","18",">6","handsfree","lowspeed"
"694","1","0","0","1","m","yes","prof","15","4-5","handheld","lowspeed"
"695","0","1","0","1","m","yes","nonprof","10",">6","handsfree","highspeed"
"696","0","1","0","1","m","yes","nonprof","20","1","handsfree","highspeed"
"697","0","1","0","1","m","no","nonprof","45","4-5","handsfree","highspeed"
"698","0","1","1","0","f","yes","prof","12","1","handsfree","lowspeed"
"699","1","0","0","1","f","yes","nonprof","13","2-3","handsfree","highspeed"
